date,Unnamed: 0,_id,updatetime,suspend,vol,high,amount,code,low,time,close,open,flow,total,percent,settle,wd,close_EMA_5,close_EMA_7,close_EMA_14,close_EMA_21,close_EMA_3,close_EMA_15,close_EMA_30,close_EMA_45,close_EMA_25,close_EMA_50,close_EMA_75,close_EMA_10,close_EMA_20,close_EMA_40,close_EMA_80,close_EMA_5_3,close_EMA_10_3,close_EMA_20_3,close_EMA_40_3,close_EMA_80_3,close_EMA_5_-3,close_EMA_10_-3,close_EMA_20_-3,close_EMA_40_-3,close_EMA_80_-3,close_shift_4,BIAS_5,BIAS_50,CCI,K,D,J,WR,RSI_6,RSI_12,ROC_6,ROC_12,RSI_24,Dea,MACD,close_EMA_26,close_EMA_12,close_MA_5,close_MA_10,close_MA_20,close_MA_30,close_MA_40,close_MA_60,Klength,KUpperlength,KLowerlength,MeanAmplitude,MB,UP,DN,CR_5,OBV,TRIX,TRMA,VR,AR,BR,PSY6,MB#2#1&trend,MACD#2#1&trend,close#2#0&trend&HS,close#2#0&trend&HS*MACD#2#1&trend*MB#2#1&trend,MB#2#0&trend,close#2#1&trend&HS,MACD#2#0&trend,close#2#1&trend&HS*MACD#2#0&trend*MB#2#0&trend
20180816,71,603259XSHG20180816,20200210010207,0,39766,76.7,299669056,603259.XSHG,73.11,1500,75.38,73.99,10419.85546875,104198.5546875,-0.2118083135,75.54,2,76.97311787524549,77.33701768837237,79.2545789798878,81.48828139114943,76.40818645657791,79.58292521036294,83.51298709173166,84.12935051486689,82.54581107448274,83.75722067112588,79.91148423639751,78.03392489937387,81.19059008373004,84.25501919083031,78.97047626178019,79.28231141150285,80.3749426463551,83.62630778624195,86.78266976655523,81.3395905496336,74.66392433898811,75.69290715239265,78.75487238121814,81.72736861510542,76.60136197392679,80.02,-3.4925999897577817,-17.643408413526682,-27.73975747046064,51.35156187868124,49.80691134381207,54.44086294841958,73.66751269035538,11.858407079646033,45.76210826210824,3.3310486634681182,-7.133177282247143,29.0899433427762,-4.260062018193748,0.20980931614954199,82.7722591413051,78.61710178118612,78.108,76.669,80.89349999999997,86.50999999999998,88.02349999999998,96.28483333333332,1.3900000000000006,1.3200000000000074,0.8799999999999955,0.05371249309626461,81.63499999999998,93.15765121402187,70.11234878597811,61.30867709815102,-466288,-0.2328579507707116,-0.08229814094150081,1.299068390418033,1.0518504946866971,0.5543372657876474,50.0,0,0,0,0.0,1,0,0,0.0
20180817,72,603259XSHG20180817,20200210010207,0,71310,76.58,522761056,603259.XSHG,71.65,1500,71.91,76.37,10419.85546875,104198.5546875,-4.6033430618,75.38,2,75.28541191683031,75.98026326627928,78.27530178256941,80.61752853740856,74.15909322828895,78.62380955906757,82.76440727936186,83.59807440552486,81.727671761061,83.29262378206211,79.70091886175547,76.92048400857863,80.30672436147003,83.65282313274105,78.79614351457575,77.54397427433523,79.22809852883599,82.71592609231413,86.1624078267233,81.16002782001303,73.02684955932541,74.61286948832127,77.89752263062593,81.14323843875881,76.43225920913845,80.36,-5.982794236853795,-20.617222894385925,-40.70706812503475,35.24652033477534,44.95344767413316,15.832665656059707,94.45802770986151,3.8680318543800136,39.910025706940864,-9.762830970008784,-7.523148148148158,27.433628318584066,-4.284531091427861,-0.19575258587290456,81.96764735306026,77.58523996869596,76.48599999999998,76.32600000000001,79.87800000000001,85.71066666666665,87.57374999999998,95.85666666666664,-4.460000000000008,0.20999999999999372,0.2599999999999909,0.05633414648663175,80.89349999999997,91.8081353122768,69.97886468772317,30.26017111925986,-394978,-0.7027455764029089,-0.4678017635868103,1.34120915023745,0.864841745081265,0.4546910449753104,33.33333333333333,0,0,0,0.0,1,1,1,1.0
20180820,73,603259XSHG20180820,20200210010207,0,47439,73.21,341871264,603259.XSHG,70.39,1500,72.98,71.92,10419.85546875,104198.5546875,1.487971075,71.91,2,74.51694127788687,75.23019744970945,77.56926154489348,79.92320776128052,73.56954661414449,77.91833336418412,82.1331551968224,83.13641899658899,81.05477393328708,82.88820716315772,79.52405257591981,76.20403237065523,79.60894108894908,83.13219761407075,78.65253503273435,76.75244951622349,78.4901533417749,81.99720932161756,85.62616354249288,81.01211108371639,72.28143303955027,73.91791139953558,77.2206728562806,80.63823168564862,76.29295898175235,79.24,-2.7063058258898827,-18.618862403654006,-50.03091275258173,31.275458000961358,40.39411778307589,13.038138436732282,76.66666666666663,11.239495798319393,45.978186775732794,-8.797800549862526,-6.663256170865832,30.984419263456093,-4.3126557102031935,-0.2249969502026552,81.30189569727803,76.87674151197349,75.01,76.46600000000001,79.12100000000001,84.854,87.07275,95.28366666666666,1.0600000000000025,0.22999999999998974,1.5300000000000011,0.05486153261001783,79.87800000000001,90.49720128823256,69.25879871176747,23.117656792983798,-442417,-0.9165467365955592,-0.8096461564992341,1.2452393776263735,0.8101092896174852,0.44492911668484203,33.33333333333333,0,0,0,0.0,1,1,1,1.0
20180821,74,603259XSHG20180821,20200210010207,0,108664,79.87,836379840,603259.XSHG,72.45,1500,79.3,72.5,10419.85546875,104198.5546875,8.6599068238,72.98,3,76.11129418525792,76.2476480872821,77.80002667224102,79.86655251025502,76.43477330707225,78.0910416936611,81.95037099057578,82.96961817065034,80.91979132303422,82.74749315675938,79.51815645550089,76.76693557599066,79.57951812809678,82.94526114509169,78.66852182204956,78.39463301081565,79.06994364327038,81.96690367193969,85.43361897944443,81.02857747671106,73.82795535970018,74.46392750871094,77.19213258425387,80.45690331073892,76.30846616738808,75.54,5.702327317320241,-10.999277219855363,13.739059637696036,47.607062090731,42.79843255229426,57.224321167604465,19.72972972972972,50.2038043478261,62.100313479623836,-1.3190642110502766,5.256172020175197,40.68317677198976,-4.2309358915581265,0.6537585491605427,81.15360712710928,77.24955051013144,75.02199999999999,76.737,78.61300000000001,84.22166666666666,86.66275,94.637,6.799999999999998,0.5700000000000074,0.049999999999997165,0.057259272199489425,79.12100000000001,88.62692467885158,69.6150753211484,66.95035460992925,-333753,-0.41661973754152143,-0.6665832370685403,1.8074814565610933,0.9553956834532364,0.555809959931311,33.33333333333333,0,0,0,0.0,1,1,1,1.0
20180822,75,603259XSHG20180822,20200210010207,0,138551,84.1,1144352640,603259.XSHG,80.99,1500,82.25,82.27,10419.85546875,104198.5546875,3.7200504413999997,79.3,4,78.15752945683863,77.74823606546158,78.39335644927556,80.0832295547773,79.34238665353612,78.61091148195347,81.96970189440961,82.93833042410031,81.0221150674162,82.7279836212002,79.59004707509295,77.76385638035599,79.8338497349447,82.91134596728233,78.75695338199895,80.50225534054378,80.09677207176667,82.22886522699305,85.39868634630079,81.11966198345894,75.81280357313345,75.43094068894531,77.43883424289636,80.42400558826384,76.39424478053898,75.38,7.707820438950285,-7.113995125884541,111.93665332898986,60.57344134519437,48.723435483260964,84.27345306906119,13.493800145878884,74.01574803149602,59.483914209115284,3.7985865724381696,14.906398435317133,41.620440410152966,-4.027942909714582,1.6239438547483471,81.23482141399008,78.01885043164968,76.36399999999999,77.66699999999999,78.27600000000001,83.71333333333334,86.38725,93.84266666666666,-0.019999999999996017,1.8299999999999983,1.2600000000000051,0.05605070822908041,78.61300000000001,87.0401855325488,70.18581446745121,252.74193548387143,-195202,0.3428353097810959,-0.03689221388021277,1.5037893025177602,0.9787504540501258,0.6460190361081737,50.0,0,0,0,0.0,1,0,0,0.0
20180823,76,603259XSHG20180823,20200210010207,0,135272,89.62,1147997696,603259.XSHG,81.35,1500,88.0,82.0,10419.85546875,104198.5546875,6.990881459,82.25,4,81.43835297122574,80.31117704909619,79.67424225603881,80.80293595888844,83.67119332676806,79.78454754670928,82.35875338509284,83.15840301435681,81.55887544684573,82.93472936154528,79.8113616257484,79.62497340210945,80.61157833161664,83.15957299326857,78.98517675528292,83.88150356036252,82.01372260417274,83.02992568156516,85.65436018306663,81.3547320579414,78.99520238208896,77.23622420004617,78.19323098166814,80.66478580347052,76.61562145262444,71.91,11.550552682283735,-0.16993799191831774,286.1449237902156,70.90751523896992,56.11812873516396,100.48628824658186,8.424336973478963,82.25971370143151,73.55242566510172,16.494572411967162,14.89750620185402,49.90186457311089,-3.6586610977698535,2.9542544955578247,81.73594575369451,79.55441190370357,78.888,78.498,78.36,83.22433333333333,86.42925,93.30316666666666,6.0,1.6200000000000043,0.6500000000000057,0.055158562242929546,78.27600000000001,87.0486438432208,69.50335615677919,590.956408588161,-330474,1.3463050128198228,0.8445701613004594,1.6021592226798351,1.1889933411672529,0.7897518014411532,66.66666666666666,0,1,1,0.0,1,0,0,0.0
20180824,77,603259XSHG20180824,20200210010207,0,86585,88.87,752094592,603259.XSHG,85.27,1500,85.88,86.7,10419.85546875,104198.5546875,-2.4090909091,88.0,4,82.91890198081715,81.70338278682216,80.5016766219003,81.26448723535313,84.77559666338402,80.54647910337061,82.58593058605459,83.27673331808046,81.89126964324221,83.05023017089646,79.97106263559715,80.76225096536226,81.11333277622458,83.29227674969448,79.1554193045352,85.40646904024167,83.18511849432313,83.54673275951131,85.79104505218531,81.53008188367126,80.43133492139262,78.3393834364014,78.67993279293785,80.79350844720365,76.78075672539914,72.98,5.139443206581632,-2.256032742180391,892.3525312044586,74.12208417560726,62.119447215311716,98.12735809619835,19.44877795111809,88.35804503020317,61.32455177460665,13.929424250464315,17.724468814256326,47.10917312661499,-3.2299955645695912,3.4293242656021032,82.04291273490233,80.52757930313379,81.68199999999999,79.084,78.32649999999998,82.69333333333334,86.20249999999999,92.57283333333334,-0.8200000000000074,2.1700000000000017,0.6099999999999994,0.05523898577933704,78.36,87.01156927961625,69.70843072038373,1283.8134430726989,-417059,1.7632216213103025,1.5547633170650623,1.514682459677419,1.3166492146596842,0.8445889611472404,66.66666666666666,0,1,1,0.0,1,0,0,0.0
20180827,78,603259XSHG20180827,20200210010207,0,113475,91.6,1012934528,603259.XSHG,86.02,1500,88.9,86.68,10419.85546875,104198.5546875,3.5165346995999998,85.88,4,84.91260132054477,83.50253709011662,81.6214530723136,81.95862475941193,86.83779833169201,81.59066921544928,82.99328990308334,83.52122317381608,82.4304027476082,83.27963290929267,80.20603467150248,82.24184169893276,81.85492013086986,83.56582422531916,79.39602623528742,87.45997936016111,84.70909694990075,84.31056773479595,86.07279895207874,81.77790702234604,82.36522328092842,79.7745864479648,79.39927252694378,81.05884949855957,77.0141454482288,79.3,4.753375910258515,1.4497384445438468,-971.7968655504317,78.50477464606729,67.58122302556357,100.35187788707466,12.729844413012682,89.48412698412695,64.79013990672885,23.626755666805746,11.55728447734974,49.93020009306655,-2.731036671491869,3.991671144621772,82.55084512490956,81.8156440257286,84.86600000000001,79.93799999999997,78.65150000000001,82.35666666666667,86.0145,91.84,2.2199999999999993,2.6999999999999886,0.6600000000000108,0.057944272618482125,78.32649999999998,87.99439796181153,68.65860203818843,-8210.144927536598,-303584,2.025472362443022,1.8943469918766624,1.4712600806451612,1.317154117403026,0.8956388936025792,83.33333333333334,0,1,1,0.0,0,0,0,0.0
20180828,79,603259XSHG20180828,20200210010207,0,65920,90.11,583310976,603259.XSHG,87.42,1500,88.34,88.01,10419.85546875,104198.5546875,-0.6299212598,88.9,4,86.05506754702984,84.71190281758746,82.51725932933846,82.53874978128356,87.58889916584603,82.43433556351812,83.33823894159407,83.73073520973713,82.88498715163836,83.4780786775557,80.42008639067349,83.35059775367229,82.47254678507272,83.79871084847429,79.6168650936754,88.63671957344074,85.85111568628244,84.9467231886249,86.31267217392853,82.00537104648565,83.47341552061896,80.85007982106211,79.99837038152054,81.28474952302007,77.22835914086512,82.25,1.9221450492650585,1.0551650926129248,-300.7457259426351,80.54648028423975,71.90297544512231,97.83348996247463,15.370108439415331,81.38888888888887,63.194444444444436,21.0468621540148,10.397400649837552,51.6196279666453,-2.2168853998454705,4.113210173171192,82.97967141195329,82.81939109869344,86.67399999999999,80.848,79.01,82.00333333333334,85.819,91.29733333333333,0.3299999999999983,1.7699999999999958,0.5900000000000034,0.057859593363659576,78.65150000000001,89.16144766875652,68.14155233124353,1921.7391304347736,-369504,1.9711871316914773,1.9983297470672496,1.421938004032258,1.3255715495342903,1.087402622078662,66.66666666666666,0,1,1,0.0,0,0,0,0.0
20180829,80,603259XSHG20180829,20200210010207,0,71817,91.0,639561728,603259.XSHG,87.0,1500,89.85,87.91,10419.85546875,104198.5546875,1.7093049581,88.34,4,87.32004503135323,85.99642711319059,83.49495808542666,83.20340889207597,88.71944958292299,83.36129361807835,83.75835255826544,83.99679020061811,83.42075737074309,83.72795794510255,80.66824201197153,84.53230725300459,83.17516137697056,84.0938956851341,79.86953509136241,89.93964638229383,87.06827647059471,85.67041621827968,86.61671255568811,82.26562114410328,84.70044368041263,81.99633803541445,80.67990653566144,81.57107881458006,77.47344903862155,88.0,1.8776787536567021,3.0451357191024737,-200.63230657186298,84.28071182865708,76.02888757296722,100.78436034003677,8.250825082508253,79.32098765432093,67.3196212863206,13.303909205548546,11.809357889497257,52.59270898805782,-1.6910206005446842,4.206918394406292,83.48858464069751,83.90102323735597,88.194,82.279,79.61449999999998,81.84966666666669,85.81625,90.7985,1.9399999999999975,1.1500000000000057,0.9099999999999966,0.055983684216696326,79.01,90.50721440175836,67.51278559824163,304.86373165618437,-297687,1.85436850433976,1.9127778180156187,1.4676234879032255,1.314099874108264,1.0825151057401807,66.66666666666666,0,1,1,0.0,0,0,0,0.0
20180830,81,603259XSHG20180830,20200210010207,0,65658,89.97,576743872,603259.XSHG,85.98,1500,87.5,89.35,10419.85546875,104198.5546875,-2.6154702282,89.85,4,87.38003002090215,86.37232033489296,84.02896367403646,83.59400808370543,88.1097247914615,83.87863191581856,83.99974916740959,84.14910367015645,83.73454526530129,83.87588116294165,80.84802511691964,85.0718877524583,83.58705076964004,84.26004711512755,80.05794163231644,90.00143092152922,87.62404438503205,86.09466229272924,86.78784852858138,82.45967988128592,84.7586291202751,82.51973111988455,81.07943924655083,81.73224570167372,77.65620338334693,85.88,-0.6742797466342864,0.4396386468771667,-127.29427658395136,83.07697305943161,78.37824940178868,92.47442037471744,19.330504479019307,47.38493723849373,70.42349726775954,6.382978723404255,10.424028268551245,54.1235446313066,-1.2190193902545317,3.7760096823212193,83.78572651916437,84.45471197007046,88.09400000000002,83.491,80.08,81.75933333333334,85.75525,90.18916666666664,-1.8499999999999943,0.6200000000000045,1.5199999999999958,0.0557811477348709,79.61449999999998,91.5873676598382,67.64163234016178,137.55980861244018,-363345,1.4603744570795243,1.6573714807096422,1.380274512871198,1.2230431309904133,0.982018871283603,50.0,1,1,1,1.0,0,0,0,0.0
20180831,82,603259XSHG20180831,20200210010207,0,54539,86.97,467327616,603259.XSHG,84.45,1500,84.5,86.58,10419.85546875,104198.5546875,-3.4285714286,87.5,1,86.42002001393476,85.9042402511697,84.09176851749825,83.67637098518675,86.30486239573074,83.95630292634125,84.03202341467347,84.16436003232356,83.79342639873965,83.90035641145373,80.94412971910594,84.96790816110224,83.67399831538862,84.27175213390181,80.16762208583948,89.01262061435284,87.5169454059353,86.18421826485027,86.79990469791888,82.57265074841467,83.82741941351672,82.41887091626917,81.16377836592696,81.74359956988475,77.76259342326429,88.9,-3.778268692067699,-2.8836097415210244,-61.80268607883225,76.35940936773248,77.70530272376995,73.66762265565755,33.47477604903346,43.39080459770117,64.19676214196762,-3.977272727272727,11.861265554673011,52.617512969658854,-0.8506067735241356,2.9473009338431693,83.83863566589292,84.46167935929037,87.81800000000001,84.75,80.538,81.50200000000002,85.4705,89.61366666666667,-2.0799999999999983,0.39000000000000057,0.049999999999997165,0.05190760429340602,80.08,91.99319705200917,68.16680294799083,84.57002457002449,-417884,0.8306094372698769,1.1454919471747007,1.397726590870361,1.2592364532019686,0.974349775784753,33.33333333333333,1,0,1,0.0,0,0,0,0.0
20180903,83,603259XSHG20180903,20200210010207,0,58820,87.38,504924992,603259.XSHG,83.7,1500,87.09,83.72,10419.85546875,104198.5546875,3.0650887574000003,84.5,2,86.64334667595652,86.20068018837729,84.49153271516516,83.98670089562431,86.69743119786537,84.34801506054859,84.22931222663003,84.29156177004863,84.04700898345199,84.02544047374968,81.10586314755055,85.35374304090183,83.99933180916113,84.40922763956513,80.33854499730025,89.24264707623522,87.91435533212889,86.51931176343598,86.9415044687521,82.74870134721925,84.04404627567783,82.79313074967477,81.47935185488629,81.87695081037819,77.92838864738124,88.34,-0.4184961580680405,0.2297146750388712,-64.03768910244389,70.07058331081636,75.16039625278543,59.8909574268782,21.263554926921227,40.95904095904094,74.29577464788733,1.4089427107592083,15.534624568851163,57.429526994744386,-0.5231736363155799,2.6194650976684457,84.07947746841937,84.86603638093801,87.45599999999997,86.161,81.31349999999998,81.46766666666667,85.18075,89.09083333333334,3.3700000000000045,0.28999999999999204,0.019999999999996017,0.052269045781078716,80.538,92.02952953266012,69.04647046733986,51.7303370786515,-359064,0.519259200634637,0.6749343189522571,1.4434587884591843,1.3364055299539157,1.0050332554377128,50.0,1,0,1,0.0,0,0,1,0.0
20180904,84,603259XSHG20180904,20200210010207,0,65197,88.56,569657984,603259.XSHG,85.5,1500,87.9,86.9,10419.85546875,104198.5546875,0.9300723390000001,87.09,3,87.06223111730435,86.62551014128294,84.9459950198098,84.34245535965847,87.29871559893269,84.79201317798001,84.4661307926539,84.44845038874216,84.34339290780184,84.17738398458303,81.28465622261501,85.81669885164696,84.37082401781245,84.57950921812294,80.52524758995949,89.67409805082347,88.39119981719637,86.90194873834683,87.11689449466664,82.9410050176583,84.4503641837852,83.24219788609757,81.83969929727806,82.04212394157925,78.1094901622607,89.85,0.6089185971980546,1.3438727886513115,-66.07140095518115,68.014535215341,72.77844257363728,58.48672049874846,17.444601603017393,47.85575048732945,74.08005164622337,-1.124859392575928,22.23612849395079,57.68561025803388,-0.22447473360956585,2.389591221648113,84.36247913742535,85.33280001463984,87.36800000000002,87.021,81.87899999999998,81.4156666666667,84.92150000000002,88.75383333333332,1.0,0.6599999999999966,1.4000000000000057,0.04639340181445953,81.31349999999998,92.93202813397636,69.69497186602364,64.20752022846236,-293867,0.4118014435337356,0.4655303220841863,1.9303223265659524,1.5244902741973263,1.1213076014178802,50.0,1,0,1,0.0,0,0,1,0.0
