date,close,high,open,low,vol,settle,amount,percent,close_EMA_5,close_EMA_3,close_EMA_10,close_EMA_20,BIAS_5,BIAS_50,CCI,K,D,J,WR,RSI_6,RSI_12,ROC_6,ROC_12,Dea,MACD,close_EMA_26,close_EMA_12
20100910,1.4738999808,1.4838999808,1.4638999808,1.4638999808,284.9696,1.4738999808,76561.728,0.0,1.4758916372969813,1.4754315241453178,1.475915743299664,1.4793252307931835,-0.2706543103028222,,84.848484848546,45.444691982469834,41.98697883859651,52.36011827021649,66.66666666666666,50.0,50.0,0.0,0.6831067785474767,-0.0072031563630794064,0.003363132867781818,1.481782373736587,1.4762607838073984
20100913,1.4838999808,1.4838999808,1.4738999808,1.4638999808,297.385,1.4738999808,80020.512,0.6784720897,1.478561085131321,1.4796657524726589,1.4773674228451796,1.4797609212700231,0.40598146545427094,,-777.7777777776327,63.62979465497989,49.20125077739097,92.48688241015773,33.33333333333333,50.0,55.55555555555556,0.6784720897121006,0.6784720897121006,-0.0066631628176392925,0.004319948363520903,1.4819392335190622,1.4774360448831834
20100914,1.4738999808,1.4838999808,1.4738999808,1.4638999808,218.2471,1.4838999808,58716.6592,-0.6738998672,1.4770073836875472,1.4767828666363294,1.476736978836965,1.4792027364633544,-0.2706543103028372,,15.819209039540521,59.0865297699866,52.49634377492285,72.26690176011408,66.66666666666666,50.0,44.44444444444444,-0.6738998672005381,0.0,-0.006220869912795026,0.0035383432387541304,1.48134373331765,1.476892035024232
20100915,1.4638999808,1.4738999808,1.4738999808,1.4638999808,179.7044,1.4738999808,48199.7216,-0.6784720897,1.4726382493916983,1.4703414237181647,1.4744029791938802,1.4777453311620825,-0.6784720897121006,,522.6666666666124,39.391019846657734,48.127902465501144,21.917254608970907,100.0,25.0,44.44444444444444,-0.6784720897121006,-1.3477997344010761,-0.0060083651402869104,0.0017000381800649257,1.4800516035015279,1.4748932574512734
20100916,1.4138999808,1.4738999808,1.4638999808,1.3938999808,543.3751,1.4638999808,143756.8896,-3.4155338928,1.4530588265277988,1.4421207022590823,1.4634024340313565,1.4716648216037889,-3.2833983603811836,,-1388.6178861789433,33.668087305179164,43.307964078727146,14.388333758083192,80.00000000000018,12.5,30.76923076923077,-4.717299070403766,-4.070832538272604,-0.006735053486912347,-0.005813506773003494,1.4751514833014145,1.4655096764280005
20100917,1.3838999808,1.4138999808,1.4038999808,1.3538999808,260.6874,1.4138999808,67664.8576,-2.1217908203,1.430005877951866,1.4130103415295412,1.4489474425347462,1.4633062653367614,-4.155412479938986,,-638.6965376782184,30.137699229093812,38.91787579551604,12.577346096249357,76.92307692307688,9.09090909090911,20.00000000000003,-6.10624880740889,-5.464854228379798,-0.008475597610865169,-0.013924352991622584,1.468392112745754,1.4529543386390775
20100920,1.3838999808,1.4038999808,1.3838999808,1.3638999808,165.3958,1.3838999808,42914.1728,0.0,1.4146372455679108,1.3984551611647706,1.4371206313102467,1.4557437620475462,-2.809186076224703,,-358.70646766169517,27.784107178370245,35.20661958980077,12.939082355509186,76.92307692307688,0.0,20.00000000000003,-6.10624880740889,-6.10624880740889,-0.010741047093913794,-0.018123595864389004,1.4621334363053278,1.4423305912792195
20100921,1.3738999808,1.3938999808,1.3838999808,1.3738999808,75.2218,1.3838999808,19513.7104,-0.7225955733,1.4010581573119405,1.3861775709823854,1.425625967581111,1.4479491162144467,-2.1369043671404975,,-253.68839914294597,23.650943247118633,31.35472747557339,8.243374790209117,84.6153846153846,0.0,13.333333333333353,-7.412898539205903,-6.784720897120991,-0.013351801622084578,-0.02088603622536627,1.4555976247864149,1.4318028050516471
20100927,1.3738999808,1.3838999808,1.3838999808,1.3538999808,96.1037,1.3738999808,24818.368,0.0,1.3920054318079604,1.3800387758911927,1.416221242711818,1.440896817603547,-0.8658633498986776,,-207.40740740740884,20.895500626284225,27.868318525810334,6.949864827232005,84.6153846153846,0.0,14.285714285714308,-6.784720897120991,-7.412898539205903,-0.016011695139744944,-0.021279148141282928,1.449545947454088,1.4228946782437015
20100928,1.3538999808,1.3738999808,1.3638999808,1.3538999808,88.831,1.3738999808,22896.048,-1.4557100429,1.379303614805307,1.3669693783455963,1.4048901041823962,1.4326114045746376,-1.4557100429068028,-8.797575054842294,-172.57655549054195,13.93033375085615,23.222323600825607,-4.653645949082765,100.0,0.0,6.666666666666677,-7.514174564022228,-8.141665076545191,-0.01884554643760753,-0.022670810382900683,1.4424610610352668,1.412280109406209
20100929,1.3138999808,1.3638999808,1.3538999808,1.3038999808,139.4755,1.3538999808,35597.2064,-2.9544279908,1.3575024034702048,1.3404346795727982,1.388346445385597,1.421305554691339,-3.3826017096448107,-11.300884504811249,-179.2523364485992,11.138741019089288,19.194462740246834,-4.972702423225805,94.44444444444444,0.0,5.5555555555555625,-7.072636067469127,-11.45629774240913,-0.022235099760010597,-0.027116426579224515,1.4329380180548765,1.3971447050052537
20100930,1.3938999808,1.4238999808,1.3138999808,1.3138999808,252.4757,1.3138999808,65708.8,6.0887435246,1.3696349292468033,1.3671673301863991,1.3893561790973066,1.418695500035021,2.3496585983651133,-5.773000818523318,-69.22524076469816,25.07288616958896,21.15393721669421,32.91078407537846,49.999999999999936,53.333333333333336,34.61538461538464,0.7225955732884138,-5.42777671769679,-0.024468238793122148,-0.017865112264892416,1.4300463115915523,1.396645516665984
