time operation sell_price buy_price buy_date
20160805 sell 5.06 5.1 20160804
20160809 sell 5.42 5.2 20160808
20161014 sell 4.99 4.92 20161013
20161020 sell 4.93 4.93 20161019
20161027 sell 4.95 4.95 20161026
20161031 sell 4.87 4.95 20161027
20161111 sell 4.92 4.89 20161108
20161209 sell 5.12 5.18 20161208
20170109 sell 4.65 4.61 20170106
20170110 sell 4.65 4.65 20170109
20170206 sell 4.53 4.52 20170203
20170207 sell 4.49 4.53 20170206
20170221 sell 4.62 4.6 20170220
20170224 sell 4.59 4.6 20170223
20170411 sell 4.54 4.48 20170410
20170503 sell 4.61 4.64 20170502
20170518 sell 4.46 4.44 20170517
20170606 sell 4.66 4.63 20170605
20170607 sell 4.68 4.66 20170606
20170608 sell 4.67 4.68 20170607
20170615 sell 4.78 4.66 20170614
20170620 sell 4.7 4.72 20170619
20170705 sell 5.36 5.04 20170704
20170706 sell 5.4 5.36 20170705
20170727 sell 5.3 5.35 20170726
20170802 sell 5.81 5.7 20170801
20170809 sell 5.57 5.7 20170808
20170822 sell 5.7 5.8 20170821
20170823 sell 5.75 5.7 20170822
20170901 sell 6.06 5.99 20170831
20170904 sell 6.04 6.06 20170901
20170905 sell 6.18 6.04 20170904
20170908 sell 6.17 6.14 20170907
20170911 sell 6.11 6.17 20170908
20171030 sell 5.98 5.88 20171027
20171102 sell 5.92 6.06 20171101
20171108 sell 6.69 6.63 20171107
20180103 sell 6.22 6.12 20180102
20180104 sell 6.31 6.22 20180103
20180111 sell 6.64 6.35 20180110
20180126 sell 6.89 7.3 20180125
20180302 sell 5.91 6.04 20180226
20180308 sell 6.38 6.29 20180307
20180309 sell 6.31 6.38 20180308
20180312 sell 6.33 6.31 20180309
20180313 sell 6.32 6.33 20180312
20180320 sell 7.04 6.77 20180319
20180321 sell 6.81 7.04 20180320
20180322 sell 6.77 6.81 20180321
20180326 sell 6.48 6.77 20180322
20180409 sell 6.93 7.12 20180404
20180517 sell 6.09 6.13 20180516
20180521 sell 6.24 6.12 20180518
20180522 sell 6.2 6.24 20180521
20180918 sell 4.1 4.01 20180917
20180919 sell 4.1 4.1 20180918
20180920 sell 4.14 4.1 20180919
20180921 sell 4.2 4.14 20180920
20180925 sell 4.17 4.2 20180921
20180926 sell 4.18 4.17 20180925
20180927 sell 4.14 4.18 20180926
20181101 sell 3.55 3.58 20181031
20181102 sell 3.61 3.55 20181101
20181105 sell 3.59 3.61 20181102
20181106 sell 3.61 3.59 20181105
20181107 sell 3.63 3.61 20181106
20181108 sell 3.59 3.63 20181107
20181114 sell 3.88 3.92 20181113
20181115 sell 3.92 3.88 20181114
20181116 sell 3.98 3.92 20181115
20181119 sell 4.12 3.98 20181116
20181120 sell 3.95 4.12 20181119
20181205 sell 3.76 3.81 20181204
20181207 sell 3.67 3.76 20181205
20190108 sell 3.44 3.38 20190107
20190109 sell 3.5 3.44 20190108
20190110 sell 3.47 3.5 20190109
20190111 sell 3.49 3.47 20190110
20190114 sell 3.43 3.49 20190111
20190117 sell 3.47 3.46 20190116
20190118 sell 3.52 3.47 20190117
20190121 sell 3.55 3.52 20190118
20190123 sell 3.44 3.55 20190121
20190213 sell 3.68 3.53 20190212
20190214 sell 3.63 3.68 20190213
20190215 sell 3.58 3.63 20190214
20190218 sell 3.69 3.58 20190215
20190219 sell 3.83 3.69 20190218
20190220 sell 3.83 3.83 20190219
20190221 sell 3.72 3.83 20190220
20190226 sell 4.24 3.94 20190225
20190227 sell 4.36 4.24 20190226
20190228 sell 4.26 4.36 20190227
20190301 sell 4.32 4.26 20190228
20190304 sell 4.6 4.32 20190301
20190311 sell 4.68 4.91 20190307
20190322 sell 5.77 6.04 20190321
20190325 sell 5.63 5.77 20190322
